actual_cost,ccg,date,items,quantity,row_id,row_name,setting
2856.64,14L,2014-10-01,417,18650,P84004,FIVE OAKS FAMILIY PRACTICE,4
919.79,14L,2014-10-01,203,8165,P84005,THE VALLANCE CENTRE,4
2063.74,14L,2014-10-01,357,17084,P84009,AILSA CRAIG MEDICAL CENTRE,4
1873.21,14L,2014-10-01,423,17154,P84010,THE BORCHARDT MEDICAL CENTRE,4
2992.22,14L,2014-10-01,644,28069,P84012,NORTHENDEN GROUP PRACTICE,4
1423.76,14L,2014-10-01,397,13958,P84014,RK MEDICAL PRACTICE,4
1671.28,14L,2014-10-01,398,17787,P84016,LEVENSHULME MEDICAL PRACTICE,4
1913.21,14L,2014-10-01,427,17631,P84017,LADYBARN GROUP PRACTICE,4
1283.54,14L,2014-10-01,302,10398,P84018,MAULDETH MEDICAL CENTRE,4
3895.84,14L,2014-10-01,690,30747,P84019,VALENTINE MEDICAL CENTRE,4
2851.24,14L,2014-10-01,564,23235,P84020,PEEL HALL MEDICAL CENTRE,4
2482.11,14L,2014-10-01,518,22319,P84021,THE MAPLES MEDICAL CENTRE,4
1187.97,14L,2014-10-01,299,10187,P84022,KINGSWAY MEDICAL PRACTICE,4
1529.72,14L,2014-10-01,386,13915,P84023,SURREY LODGE PRACTICE,4
3695.1,14L,2014-10-01,703,29322,P84024,BOWLAND MEDICAL PRACTICE,4
3056.39,14L,2014-10-01,651,29216,P84025,ST GEORGE'S MEDICAL CENTRE,4
1087.36,14L,2014-10-01,260,17154,P84026,DICKENSON ROAD MEDICAL CENTRE,4
1290.33,14L,2014-10-01,296,13455,P84027,WEST POINT MEDICAL CENTRE,4
2521.81,14L,2014-10-01,651,24932,P84028,GORTON MEDICAL CENTRE,4
3777.36,14L,2014-10-01,803,33807,P84029,BENCHILL MEDICAL PRACTICE,4
4211.59,14L,2014-10-01,739,41223,P84030,NEW COLLEGIATE MEDICAL CENTRE,4
1308.33,14L,2014-10-01,356,13634,P84032,DRS HANIF & BANNURU,4
2158.16,14L,2014-10-01,413,21953,P84033,BEACON MEDICAL CENTRE,4
